loja_id,ano_mes,receita,teve_campanha
1,2023-01,12515.07,0
1,2023-02,14003.56,0
1,2023-03,11931.15,0
1,2023-04,13060.76,1
1,2023-05,10962.63,1
1,2023-06,10338.53,0
1,2023-07,10237.75,1
1,2023-08,10118.48,0
1,2023-09,13653.03,1
1,2023-10,14565.71,0
1,2023-11,14894.75,0
1,2023-12,14317.49,0
1,2024-01,13120.34,0
1,2024-02,15113.8,0
1,2024-03,14484.01,1
1,2024-04,13181.06,1
1,2024-05,11858.42,0
1,2024-06,10197.47,0
1,2024-07,10527.04,0
1,2024-08,11199.83,0
1,2024-09,12305.35,0
1,2024-10,12442.19,0
1,2024-11,12311.24,0
1,2024-12,15340.8,0
1,2025-01,13799.61,0
1,2025-02,13848.95,0
1,2025-03,15432.26,1
2,2023-01,10627.71,0
2,2023-02,13497.67,0
2,2023-03,12064.57,0
2,2023-04,9617.01,0
2,2023-05,9173.93,0
2,2023-06,9173.04,1
2,2023-07,7463.13,0
2,2023-08,8637.48,0
2,2023-09,11470.96,0
2,2023-10,11420.57,0
2,2023-11,10436.33,0
2,2023-12,12816.03,0
2,2024-01,14036.31,0
2,2024-02,11179.52,0
2,2024-03,11073.29,1
2,2024-04,9869.89,0
2,2024-05,10668.83,0
2,2024-06,7970.68,0
2,2024-07,8941.18,0
2,2024-08,10825.24,0
2,2024-09,11717.94,0
2,2024-10,11708.01,0
2,2024-11,16675.93,1
2,2024-12,12801.75,0
2,2025-01,13029.41,0
2,2025-02,11794.58,1
2,2025-03,12695.05,0
2,2025-04,11094.42,0
2,2025-05,9752.84,0
2,2025-06,10001.48,1
2,2025-07,9577.21,0
2,2025-08,10712.29,1
2,2025-09,10752.42,0
2,2025-10,12521.92,0
2,2025-11,15339.92,1
2,2025-12,14184.09,0
3,2023-01,10766.91,1
3,2023-02,9370.54,1
3,2023-03,9154.51,1
3,2023-04,9303.35,0
3,2023-05,8249.06,1
3,2023-06,7323.4,0
3,2023-07,8930.02,1
3,2023-08,7779.38,0
3,2023-09,9319.18,0
3,2023-10,10513.65,1
3,2023-11,10994.26,1
3,2023-12,13840.48,1
3,2024-01,11591.84,0
3,2024-02,11215.57,0
4,2023-01,7940.81,1
4,2023-02,7940.91,1
4,2023-03,6963.21,0
4,2023-04,6208.5,0
4,2023-05,6249.91,0
4,2023-06,5904.55,0
4,2023-07,6328.5,0
4,2023-08,5889.68,0
4,2023-09,7638.28,1
4,2023-10,8062.93,0
4,2023-11,8554.06,1
4,2023-12,8743.59,1
4,2024-01,9111.04,0
4,2024-02,7377.2,1
4,2024-03,9202.85,1
4,2024-04,6506.59,0
4,2024-05,6147.48,0
4,2024-06,6492.29,0
4,2024-07,6344.51,0
4,2024-08,6325.21,1
4,2024-09,7334.15,1
4,2024-10,7766.31,0
4,2024-11,10036.25,1
4,2024-12,8950.74,0
4,2025-01,8630.68,0
4,2025-02,7943.92,0
4,2025-03,8767.34,0
4,2025-04,6907.94,0
4,2025-05,6929.15,0
4,2025-06,6080.17,0
4,2025-07,5566.73,0
4,2025-08,5650.17,0
4,2025-09,8453.08,1
4,2025-10,8543.99,0
4,2025-11,9698.48,0
4,2025-12,10024.04,1
5,2023-01,21987.88,1
5,2023-02,22056.99,1
5,2023-03,16283.39,0
5,2023-04,18667.42,1
5,2023-05,15378.65,0
5,2023-06,14292.53,0
5,2023-07,16305.46,1
5,2023-08,19628.42,1
5,2023-09,19734.52,1
5,2023-10,20647.56,1
5,2023-11,17739.84,0
6,2023-01,15675.88,1
6,2023-02,15699.64,0
6,2023-03,13043.04,0
6,2023-04,12450.78,0
6,2023-05,11879.65,0
6,2023-06,14204.1,1
6,2023-07,12382.7,0
6,2023-08,12392.79,0
6,2023-09,15054.1,0
6,2023-10,15835.47,0
6,2023-11,13713.84,0
6,2023-12,18437.27,0
6,2024-01,18743.52,1
6,2024-02,14599.1,1
6,2024-03,15782.38,0
6,2024-04,15366.25,1
6,2024-05,12313.11,0
6,2024-06,12565.67,0
6,2024-07,11973.38,0
6,2024-08,13214.18,0
6,2024-09,13938.92,0
6,2024-10,15388.66,0
6,2024-11,15185.58,0
6,2024-12,17961.9,0
6,2025-01,22465.04,1
6,2025-02,16072.79,0
6,2025-03,14300.4,0
6,2025-04,13346.68,0
6,2025-05,11405.64,0
6,2025-06,12154.81,0
6,2025-07,12413.63,0
6,2025-08,15027.58,1
6,2025-09,15704.4,0
6,2025-10,15365.09,0
6,2025-11,16626.1,0
6,2025-12,16274.29,0
7,2023-01,17272.28,0
7,2023-02,14362.8,0
7,2023-03,17260.94,0
7,2023-04,15228.37,1
7,2023-05,12559.52,0
7,2023-06,13135.63,0
7,2023-07,12380.3,0
7,2023-08,13125.7,0
7,2023-09,14241.4,0
7,2023-10,16222.26,0
7,2023-11,18737.57,0
7,2023-12,20514.17,0
7,2024-01,19850.99,1
7,2024-02,18245.16,0
7,2024-03,16333.15,0
7,2024-04,17421.0,0
7,2024-05,15854.72,0
7,2024-06,12234.97,0
7,2024-07,13889.97,0
7,2024-08,14961.2,0
7,2024-09,15689.66,0
7,2024-10,17014.54,0
7,2024-11,17988.95,0
